fam,tf,period,mult,side,n_tr_months,total_all,mean_in_bleed,mean_normal,hedge_edge,wr_bleed,mIS,mOOS,tot_bleed,squeeze
bb,D1,60,2.0,short,112,-21781.860514894823,-206.3798051850119,-174.47884606009575,-31.90095912491614,0.2857142857142857,-184.0605481900966,-230.93098787941872,-4333.97590888525,
bb,D1,60,2.5,both,116,-27935.125771956835,-293.38086540153216,-217.74127598524657,-75.63958941628559,0.23809523809523808,-295.63158100962886,-290.9050782326258,-6160.9981734321755,
bb,D1,60,2.5,long,109,-7699.153163785912,-91.55483553011047,-57.765016176535916,-33.78981935357455,0.3333333333333333,-35.96370582563759,-152.70507820503062,-1922.6515461323197,
bb,D1,60,2.5,short,99,-20673.201277500753,-214.8577506540251,-161.61188513766226,-53.24586551636284,0.19047619047619047,-264.98376048728824,-159.71913983743562,-4512.012763734527,
bb,D1,60,3.0,both,93,-18409.728407914365,-129.53640048064238,-156.89463997820877,27.358239497566387,0.3333333333333333,-148.03870315905658,-109.1838675343868,-2720.2644100934904,
bb,D1,60,3.0,long,73,-4767.669209216358,-4.140280350259543,-46.80723321860907,42.666952868349526,0.3333333333333333,-46.26948546850128,42.20184527980636,-86.9458873554504,
bb,D1,60,3.0,short,67,-13747.098445460324,-120.84402627219615,-112.09373893744205,-8.750287334754091,0.14285714285714285,-102.31217901083933,-141.22905825968866,-2537.724551716119,
sq,H4,20,2.0,both,121,-51599.71242918821,-323.3487330201473,-448.0938903576511,124.74515733750383,0.3333333333333333,-268.2014687078756,-384.01072376364607,-6790.323393423093,50.0
sq,H4,20,2.0,long,121,-21718.676619546237,-106.25945046778035,-194.87228159722846,88.61283112944811,0.2857142857142857,-85.06119127087649,-129.57753558437463,-2231.4484598233876,50.0
sq,H4,20,2.0,short,121,-31878.09591117856,-240.10678099677915,-268.358535102462,28.251754105682835,0.23809523809523808,-200.84219788651734,-283.29782241806714,-5042.242400932362,50.0
sq,H4,20,2.0,both,120,-55993.32677064207,-312.42313560477714,-494.3244092294175,181.90127362464034,0.3333333333333333,-213.4174846840805,-421.3293516175434,-6560.88584770032,100.0
sq,H4,20,2.0,long,120,-20976.37579449661,-89.87519962332581,-190.88996602406766,101.01476640074185,0.38095238095238093,-31.538313719848453,-154.0457741171509,-1887.379192089842,100.0
sq,H4,20,2.0,short,120,-37871.7026427817,-268.35297839382525,-322.3629009651137,54.00992257128843,0.23809523809523808,-213.93762019118233,-328.2098724167325,-5635.4125462703305,100.0
sq,H4,20,2.0,both,120,-57228.42529295027,-264.8658601381642,-516.6624223004882,251.796562162324,0.38095238095238093,-164.30287918377914,-375.4851391879877,-5562.183062901448,200.0
sq,H4,20,2.0,long,120,-24559.298058565837,-98.74156435896124,-224.85725207027653,126.11568771131529,0.3333333333333333,-24.39549786793412,-180.5222374990911,-2073.572851538186,200.0
sq,H4,20,2.0,short,120,-35547.86230605377,-204.4640502759903,-312.54117250257974,108.07712222658944,0.23809523809523808,-164.95643742537487,-247.92242441166727,-4293.745055795796,200.0
sq,H4,20,2.5,both,121,-42958.12825405792,-355.2124612189191,-354.9866656846062,-0.22579553431290833,0.2857142857142857,-228.2160125357842,-494.90855477036746,-7459.461685597301,50.0
sq,H4,20,2.5,long,121,-18715.523216319878,-143.17031489212792,-157.08946603585187,13.919151143723951,0.2857142857142857,-82.5208017529074,-209.88477934527046,-3006.576612734686,50.0
sq,H4,20,2.5,short,121,-25424.31077754278,-229.57355509106856,-206.03266120630346,-23.540893884765097,0.23809523809523808,-159.63017032784427,-306.51127833061526,-4821.04465691244,50.0
sq,H4,20,2.5,both,120,-46446.562337932104,-317.35942316395096,-397.8201445148914,80.46072135094045,0.3333333333333333,-140.251215481872,-512.1784516142378,-6664.547886442971,100.0
sq,H4,20,2.5,long,120,-18455.877024238147,-116.70864972665736,-160.04995379978342,43.34130407312607,0.3333333333333333,-59.12716242383183,-180.04828575976543,-2450.8816442598045,100.0
sq,H4,20,2.5,short,120,-29784.37127728876,-229.40708518558773,-249.66822488391418,20.261139698326446,0.23809523809523808,-99.30253544894335,-372.52208989589656,-4817.548788897342,100.0
sq,H4,20,2.5,both,120,-48071.62366557589,-258.5336519443382,-426.42416974744793,167.89051780310973,0.3333333333333333,-98.72982449068836,-434.31786214335307,-5429.206690831103,200.0
sq,H4,20,2.5,long,120,-20035.081518576542,-116.72525130007402,-175.83851241274988,59.11326111267586,0.3333333333333333,-41.306528913968414,-199.6858459247902,-2451.2302773015545,200.0
