orig,instr,dir,entry_d0,year,bars_held_d0,ret_d0,mae_h4_d0,mae_m1_d0,mae_m1_8h_d0,mae_h4_d1,mae_m1_d1,mae_m1_8h_d1,d_h4,d_m1,hid_d0,hid_d1
569,EURUSD,1,2021-03-23 16:00:00+00:00,2021,42,-0.006456731459052722,-0.011900642297077324,-0.012162287624176038,-0.0010043804491861597,-0.011216293608509731,-0.011478120148798232,-0.0018327682452603522,0.0006843486885675931,0.000684167475377806,-0.000261645327098714,-0.00026182654028850116
568,AUDCAD,1,2021-03-23 16:00:00+00:00,2021,19,0.0008936956301249767,-0.006152315923053098,-0.006799983992796355,-0.0028621016740469907,-0.0039506661363202245,-0.004599768971461193,-0.002029163560603453,0.0022016497867328733,0.0022002150213351612,-0.0006476680697432569,-0.0006491028351409689
570,AUDUSD,1,2021-03-25 12:00:00+00:00,2021,12,0.010885504049037638,0.001228582374466658,0.00017173732116204654,0.00017173732116204654,0.0016755266306296424,-0.00046184557619288746,-0.00046184557619288746,0.0004469442561629844,-0.000633582897354934,-0.0010568450533046114,-0.00213737220682253
571,GBPAUD,-1,2021-03-25 12:00:00+00:00,2021,16,0.0072313128745051395,0.00011992298458152195,-0.0005029955659712204,-0.0005029955659712204,0.0009524229656542316,-0.0002133587281341054,-0.0002133587281341054,0.0008324999810727096,0.000289636837837115,-0.0006229185505527424,-0.001165781693788337
572,USDCHF,-1,2021-03-26 04:00:00+00:00,2021,32,-0.0007228890046456522,-0.005347252490246257,-0.006867445544133544,-0.001094964227625006,-0.00495198903678129,-0.006471584409862174,-0.0006269868210895257,0.00039526345346496683,0.00039586113427136915,-0.0015201930538872865,-0.0015195953730808842
573,EURCAD,1,2021-03-31 16:00:00+00:00,2021,15,0.003817671874246315,-0.00029669958498801385,-0.0008723423678649311,-0.0008723423678649311,0.001649159100388875,-0.0003991736271226065,-0.0003991736271226065,0.0019458586853768889,0.0004731687407423246,-0.0005756427828769173,-0.0020483327275114815
574,GBPAUD,-1,2021-04-01 00:00:00+00:00,2021,21,0.003802293645608036,-0.00048695774368301414,-0.003476455521443267,-0.003476455521443267,-1.5063985957963766e-05,-0.001468461033843349,-0.001468461033843349,0.0004718937577250504,0.002007994487599918,-0.0029894977777602527,-0.0014533970478853853
575,EURAUD,-1,2021-04-09 04:00:00+00:00,2021,19,0.0030351493961685307,-0.001683188290741322,-0.003206326102765722,-0.0006772731083894978,-0.0045824171905473055,-0.006109963507391125,-0.0023801976537449754,-0.0028992288998059834,-0.002903637404625403,-0.0015231378120244,-0.0015275463168438197
576,GBPAUD,1,2021-04-16 04:00:00+00:00,2021,5,0.008459907288943695,0.002191145572089992,-0.00025064681589770377,-0.00025064681589770377,0.004113982658299653,-0.00019399748965143182,-0.00019399748965143182,0.001922837086209661,5.664932624627195e-05,-0.0024417923879876957,-0.004307980147951085
577,EURUSD,-1,2021-04-23 16:00:00+00:00,2021,29,0.001529001438087933,-0.0029257649139626807,-0.004091111955964788,-2.4794617914825068e-05,-0.0034150455381662947,-0.004580961098545444,-1.652571323162988e-05,-0.0004892806242036141,-0.0004898491425806561,-0.0011653470420021073,-0.0011659155603791493
578,EURJPY,-1,2021-04-27 08:00:00+00:00,2021,30,-0.005032060950833607,-0.01045163097276225,-0.011761702205314917,-0.004928119281630838,-0.008112889587622352,-0.009419928594074367,-0.0029607996685425686,0.0023387413851398975,0.0023417736112405496,-0.0013100712325526676,-0.0013070390064520154
579,USDCAD,1,2021-04-28 12:00:00+00:00,2021,24,-0.0017563597218959524,-0.006693592119853209,-0.007130658594426631,-0.0043221018041131876,-0.00326478101402905,-0.0037033562057214864,-0.0020140295414252662,0.003428811105824159,0.0034273023887051446,-0.00043706647457342207,-0.0004385751916924363
580,AUDCAD,1,2021-04-30 08:00:00+00:00,2021,32,0.0012998741355510304,-0.006922203331436783,-0.008340582074857772,-0.007347207800695088,-0.002501445345516551,-0.003926138104997645,-0.0029283417530577838,0.004420757985920232,0.004414443969860127,-0.0014183787434209894,-0.0014246927594810943
581,AUDCHF,1,2021-04-30 12:00:00+00:00,2021,8,0.003907037344439597,-0.0011313707678850538,-0.0016488714299188745,-0.0016488714299188745,-0.00025398866107850804,-0.00025398866107850804,-0.00025398866107850804,0.0008773821068065457,0.0013948827688403664,-0.0005175006620338207,0.0
582,USDCAD,1,2021-05-06 12:00:00+00:00,2021,31,-0.003928386901002976,-0.008832719608309447,-0.011662142324063263,-0.0039693930273182465,-0.00628173568571333,-0.009118440534363281,-0.0014058922791934103,0.0025509839225961173,0.0025437017896999814,-0.0028294227157538154,-0.0028367048486499513
583,EURJPY,-1,2021-05-07 16:00:00+00:00,2021,15,0.001600549799091814,-0.0017754844370230227,-0.0030282392074336695,-0.000205006529188978,-0.0025272233153637025,-0.0037809181611512255,9.370391599139438e-05,-0.0007517388783406798,-0.000752678953717556,-0.0012527547704106468,-0.001253694845787523
584,EURCAD,1,2021-05-12 08:00:00+00:00,2021,8,0.003326472014919686,-0.0023565117209620734,-0.004476069063757748,-0.004476069063757748,0.0013194373669702664,-0.0002759848037665602,-0.0002759848037665602,0.0036759490879323398,0.004200084259991188,-0.002119557342795675,-0.0015954221707368266
585,EURJPY,-1,2021-05-18 08:00:00+00:00,2021,17,0.002140049917873942,-0.0016388623093097632,-0.0026110249576503097,-0.0006977321282652937,-0.0022846424247264796,-0.003257431849174708,-0.0013429054749354297,-0.0006457801154167164,-0.0006464068915243981,-0.0009721626483405466,-0.0009727894244482282
586,EURUSD,-1,2021-05-18 08:00:00+00:00,2021,19,0.003249490476619267,-0.0012113969535003655,-0.002250906501436445,-0.0011131755788922337,-0.002491424636869688,-0.003532263175868744,-0.0023029263187834825,-0.0012800276833693225,-0.001281356674432299,-0.0010395095479360794,-0.001040838538999056
587,EURAUD,-1,2021-05-19 08:00:00+00:00,2021,12,0.004972776690949864,-0.0004245426414541953,-0.0017983144210051982,-0.0015337029844040284,-0.001263167121245523,-0.0026380904905416447,-0.0013902858495733472,-0.0008386244797913278,-0.0008397760695364465,-0.001373771779551003,-0.0013749233692961216
588,AUDCAD,1,2021-05-21 20:00:00+00:00,2021,14,0.006635686030470431,3.538044361550696e-05,-0.0011083819271006101,-0.00016095432685803157,-0.0005746950752965052,-0.0017177596892776759,-0.0010401822775611969,-0.0006100755189120122,-0.0006093777621770657,-0.001143762370716117,-0.0011430646139811707
589,AUDNZD,1,2021-05-25 08:00:00+00:00,2021,31,-0.006121707763810618,-0.010581362945101147,-0.011508421492569254,-0.0008047890703639649,-0.01109391494939349,-0.012020493249473074,-0.0009679322683689984,-0.0005125520042923437,-0.0005120717569038202,-0.000927058547468107,-0.0009265783000795835
590,GBPAUD,-1,2021-05-27 16:00:00+00:00,2021,16,0.0011759779212556808,-0.0038503952419504106,-0.004378622477237526,-0.0008047202006153942,-0.003866870082353424,-0.00439510598672066,-0.0021208137165886765,-1.6474840403013502e-05,-1.648350948313393e-05,-0.0005282272352871153,-0.0005282359043672358
591,EURAUD,-1,2021-05-28 12:00:00+00:00,2021,5,0.0037216236454486757,0.00033278649879253663,-0.00039690355588573034,-0.00039690355588573034,0.00016827661848339837,-0.0005036213082989516,-0.0001828145438211859,-0.00016450988030913827,-0.00010671775241322123,-0.000729690054678267,-0.0006718979267823499
592,AUDCAD,1,2021-05-28 20:00:00+00:00,2021,5,0.0037979397422056777,0.0005205613518399765,-0.0007703617915852945,-0.00016121621419118437,0.0018775486556923404,-0.0007077907989996302,-0.0007077907989996302,0.0013569873038523639,6.257099258566434e-05,-0.001290923143425271,-0.0025853394546919706
