instr,entry,dir,horizon,mae_sigma,win,ret,z_entry,bars_held
AUDNZD,2020-02-10 20:00:00+00:00,-1,1,2.71117404586867,True,0.005052998126716396,2.0002419266364346,7
AUDNZD,2020-02-10 20:00:00+00:00,-1,2,2.9380103676677973,True,0.005052998126716396,2.0002419266364346,7
AUDNZD,2020-02-10 20:00:00+00:00,-1,4,2.9526707569340247,True,0.005052998126716396,2.0002419266364346,7
AUDNZD,2020-02-10 20:00:00+00:00,-1,8,2.9526707569340247,True,0.005052998126716396,2.0002419266364346,7
AUDNZD,2020-04-22 12:00:00+00:00,-1,1,0.06604935095771515,True,0.0012010304381694624,2.148988059329385,37
AUDNZD,2020-04-22 12:00:00+00:00,-1,2,0.6426998701356814,True,0.0012010304381694624,2.148988059329385,37
AUDNZD,2020-04-22 12:00:00+00:00,-1,4,0.7165998350387623,True,0.0012010304381694624,2.148988059329385,37
AUDNZD,2020-04-22 12:00:00+00:00,-1,8,0.7165998350387623,True,0.0012010304381694624,2.148988059329385,37
AUDNZD,2020-08-13 12:00:00+00:00,-1,1,0.005387633645020602,False,-0.001990671076407879,2.012599325630372,24
AUDNZD,2020-08-13 12:00:00+00:00,-1,2,0.0471471719476122,False,-0.001990671076407879,2.012599325630372,24
AUDNZD,2020-08-13 12:00:00+00:00,-1,4,2.0886925584193783,False,-0.001990671076407879,2.012599325630372,24
AUDNZD,2020-08-13 12:00:00+00:00,-1,8,2.8553040383680064,False,-0.001990671076407879,2.012599325630372,24
AUDNZD,2020-11-30 08:00:00+00:00,1,1,1.582042495196691,True,0.000921130748753098,2.614726530007594,14
AUDNZD,2020-11-30 08:00:00+00:00,1,2,1.582042495196691,True,0.000921130748753098,2.614726530007594,14
AUDNZD,2020-11-30 08:00:00+00:00,1,4,1.582042495196691,True,0.000921130748753098,2.614726530007594,14
AUDNZD,2020-11-30 08:00:00+00:00,1,8,5.609894545917728,True,0.000921130748753098,2.614726530007594,14
AUDNZD,2021-01-12 08:00:00+00:00,-1,1,0.4110141007402558,False,-0.003025133172458444,2.6051963058404004,40
AUDNZD,2021-01-12 08:00:00+00:00,-1,2,1.158512465153887,False,-0.003025133172458444,2.6051963058404004,40
AUDNZD,2021-01-12 08:00:00+00:00,-1,4,1.158512465153887,False,-0.003025133172458444,2.6051963058404004,40
AUDNZD,2021-01-12 08:00:00+00:00,-1,8,1.9572695127451576,False,-0.003025133172458444,2.6051963058404004,40
AUDNZD,2021-05-25 08:00:00+00:00,1,1,0.7306625967894419,False,-0.006121707763810618,2.0730952828694984,31
AUDNZD,2021-05-25 08:00:00+00:00,1,2,0.7306625967894419,False,-0.006121707763810618,2.0730952828694984,31
AUDNZD,2021-05-25 08:00:00+00:00,1,4,7.234097450226257,False,-0.006121707763810618,2.0730952828694984,31
AUDNZD,2021-05-25 08:00:00+00:00,1,8,10.97437202065553,False,-0.006121707763810618,2.0730952828694984,31
AUDNZD,2021-07-30 08:00:00+00:00,1,1,1.1190891300453765,True,0.001974158911457631,2.1584155675646213,7
AUDNZD,2021-07-30 08:00:00+00:00,1,2,1.1190891300453765,True,0.001974158911457631,2.1584155675646213,7
AUDNZD,2021-07-30 08:00:00+00:00,1,4,1.1190891300453765,True,0.001974158911457631,2.1584155675646213,7
AUDNZD,2021-07-30 08:00:00+00:00,1,8,1.1190891300453765,True,0.001974158911457631,2.1584155675646213,7
AUDNZD,2021-08-31 00:00:00+00:00,1,1,0.2514618615667533,True,0.003291804935193856,2.8224824281092764,8
AUDNZD,2021-08-31 00:00:00+00:00,1,2,1.5131727435087523,True,0.003291804935193856,2.8224824281092764,8
AUDNZD,2021-08-31 00:00:00+00:00,1,4,1.5887657943833804,True,0.003291804935193856,2.8224824281092764,8
AUDNZD,2021-08-31 00:00:00+00:00,1,8,1.5887657943833804,True,0.003291804935193856,2.8224824281092764,8
AUDNZD,2021-09-08 20:00:00+00:00,1,1,0.13542796494640968,False,-0.0037220096328478506,2.00701535408465,39
AUDNZD,2021-09-08 20:00:00+00:00,1,2,0.5638691356818555,False,-0.0037220096328478506,2.00701535408465,39
AUDNZD,2021-09-08 20:00:00+00:00,1,4,1.5840287042290728,False,-0.0037220096328478506,2.00701535408465,39
AUDNZD,2021-09-08 20:00:00+00:00,1,8,1.7968461747756135,False,-0.0037220096328478506,2.00701535408465,39
AUDNZD,2021-10-11 04:00:00+00:00,-1,1,2.371122884726635,True,0.0019268218749888726,2.0115084651705044,19
AUDNZD,2021-10-11 04:00:00+00:00,-1,2,2.5238700090164725,True,0.0019268218749888726,2.0115084651705044,19
AUDNZD,2021-10-11 04:00:00+00:00,-1,4,4.041677359258108,True,0.0019268218749888726,2.0115084651705044,19
AUDNZD,2021-10-11 04:00:00+00:00,-1,8,4.295358870415714,True,0.0019268218749888726,2.0115084651705044,19
AUDNZD,2022-02-14 20:00:00+00:00,-1,1,0.3161201557911067,True,0.003907603696470253,2.051766056930997,2
AUDNZD,2022-02-14 20:00:00+00:00,-1,2,0.3161201557911067,True,0.003907603696470253,2.051766056930997,2
AUDNZD,2022-02-14 20:00:00+00:00,-1,4,0.3161201557911067,True,0.003907603696470253,2.051766056930997,2
AUDNZD,2022-02-14 20:00:00+00:00,-1,8,0.3161201557911067,True,0.003907603696470253,2.051766056930997,2
AUDNZD,2022-03-24 16:00:00+00:00,-1,1,0.30378462258844907,False,-0.00035719988553162816,2.013721587129229,22
AUDNZD,2022-03-24 16:00:00+00:00,-1,2,0.30378462258844907,False,-0.00035719988553162816,2.013721587129229,22
AUDNZD,2022-03-24 16:00:00+00:00,-1,4,0.30378462258844907,False,-0.00035719988553162816,2.013721587129229,22
AUDNZD,2022-03-24 16:00:00+00:00,-1,8,1.8255386203398531,False,-0.00035719988553162816,2.013721587129229,22
AUDNZD,2022-04-13 04:00:00+00:00,-1,1,1.063943991809195,True,2.0167274788230997e-05,2.648896290600048,43
AUDNZD,2022-04-13 04:00:00+00:00,-1,2,1.096069778111671,True,2.0167274788230997e-05,2.648896290600048,43
AUDNZD,2022-04-13 04:00:00+00:00,-1,4,3.181981184669951,True,2.0167274788230997e-05,2.648896290600048,43
