instr,entry,exit,dir,entry_price,ret,bars_held,z_entry,vol_entry
NZDUSD,2021-11-26 00:00:00+00:00,2022-03-06 00:00:00+00:00,-1,0.68135,-0.0087913700741177,85,2.1546399838546026,0.005119534496279518
USDCAD,2021-12-03 00:00:00+00:00,2022-01-12 00:00:00+00:00,1,1.2843700000000002,-0.026588911295031853,34,2.1857095619819136,0.003552385731880912
EURUSD,2022-01-27 00:00:00+00:00,2022-11-10 00:00:00+00:00,-1,1.11442,0.08547046894348652,246,3.313843001244393,0.0038668654451511856
AUDUSD,2022-03-06 00:00:00+00:00,2022-04-25 00:00:00+00:00,1,0.7393899999999999,-0.02951081296744603,43,2.6663512341602758,0.005056157582472234
GBPUSD,2022-03-07 00:00:00+00:00,2022-11-10 00:00:00+00:00,-1,1.3112249999999999,0.1081431485824324,213,3.181233533292899,0.004561627765012252
USDCHF,2022-03-14 00:00:00+00:00,2022-06-27 00:00:00+00:00,1,0.9385100000000002,0.018934268148448,90,2.6454523467352,0.004612882065173756
NZDUSD,2022-03-22 00:00:00+00:00,2022-04-22 00:00:00+00:00,1,0.69637,-0.04777632580381127,27,2.2736687819415566,0.006457670404758438
USDCAD,2022-03-25 00:00:00+00:00,2022-05-06 00:00:00+00:00,-1,1.24726,-0.034267113512820364,36,3.042704550503665,0.004171539769141085
NZDUSD,2022-04-28 00:00:00+00:00,2022-08-10 00:00:00+00:00,-1,0.6491899999999999,0.013355104052742846,89,2.851616159342136,0.004553390796706988
USDCAD,2022-05-06 00:00:00+00:00,2022-08-10 00:00:00+00:00,1,1.2900000000000003,-0.009821705426356863,82,2.014336301492839,0.00467184507886217
AUDUSD,2022-05-09 00:00:00+00:00,2022-08-10 00:00:00+00:00,-1,0.6952699999999999,-0.018539560170868923,80,2.2534720636634678,0.009001302899247608
USDCHF,2022-08-10 00:00:00+00:00,2022-09-04 00:00:00+00:00,-1,0.94234,-0.043487488592227806,21,2.0153906724994437,0.005450634613795368
NZDUSD,2022-08-28 00:00:00+00:00,2022-11-11 00:00:00+00:00,-1,0.61064,-0.0013428533997118081,65,1.5047456460116926,0.00804258984756885
USDCAD,2022-08-31 00:00:00+00:00,2023-01-26 00:00:00+00:00,1,1.31428,0.01320875308153501,127,2.257733008907276,0.00475697379209444
AUDUSD,2022-09-06 00:00:00+00:00,2022-11-15 00:00:00+00:00,-1,0.67268,-0.006288279716952964,60,1.8201131699339792,0.006423878260501508
USDCHF,2022-10-10 00:00:00+00:00,2022-11-11 00:00:00+00:00,1,0.99949,-0.05868993186525126,28,2.012546284668733,0.00683967245363894
EURUSD,2022-11-11 00:00:00+00:00,2023-05-23 00:00:00+00:00,1,1.03541,0.0400517669329059,165,3.25782185060089,0.00917074643698798
USDCHF,2022-12-01 00:00:00+00:00,2023-02-24 00:00:00+00:00,-1,0.9363199999999999,-0.003844839371155141,73,1.6830942405152567,0.008577616792843055
GBPUSD,2022-12-01 00:00:00+00:00,2023-03-07 00:00:00+00:00,1,1.225825,-0.03526604531641964,82,2.0571305969784217,0.01007101128205539
NZDUSD,2022-12-09 00:00:00+00:00,2023-02-21 00:00:00+00:00,1,0.64096,-0.03034510733899149,62,1.565143592101387,0.008032614356462787
USDJPY,2022-12-20 00:00:00+00:00,2023-02-16 00:00:00+00:00,-1,131.8845,-0.016628186026409416,50,1.8456610232486468,0.011569296812050761
AUDUSD,2023-01-08 00:00:00+00:00,2023-02-24 00:00:00+00:00,1,0.68959,-0.025290389941849754,41,2.4712133986046236,0.007267312192624256
USDCAD,2023-03-07 00:00:00+00:00,2023-04-13 00:00:00+00:00,1,1.3750600000000002,-0.029889604817244418,32,2.830579086940548,0.003378170958054111
AUDUSD,2023-03-07 00:00:00+00:00,2023-06-14 00:00:00+00:00,-1,0.6587999999999999,-0.0316484517304192,85,2.6349798898689905,0.007122690273458442
GBPUSD,2023-04-03 00:00:00+00:00,2023-08-24 00:00:00+00:00,1,1.242005,0.013816369499317725,123,2.2718434285324403,0.004794124952720155
USDCHF,2023-04-04 00:00:00+00:00,2023-09-05 00:00:00+00:00,-1,0.9056599999999999,0.017909590795662834,132,2.169681346791139,0.006085417820476904
USDJPY,2023-05-01 00:00:00+00:00,2023-11-21 00:00:00+00:00,1,137.5255,0.07720749970005561,175,2.2236124282860668,0.005859123923000256
NZDUSD,2023-05-25 00:00:00+00:00,2023-07-12 00:00:00+00:00,-1,0.6052,-0.04178783873099803,41,2.6182236182697842,0.008562255032830738
USDCAD,2023-06-11 00:00:00+00:00,2023-08-04 00:00:00+00:00,-1,1.3336499999999998,-0.0032617253402317087,47,1.6396716083944742,0.003009418496407048
EURUSD,2023-07-12 00:00:00+00:00,2023-08-22 00:00:00+00:00,1,1.11408,-0.026452319402556365,35,2.798940290902271,0.004336452443782413
NZDUSD,2023-07-13 00:00:00+00:00,2023-08-08 00:00:00+00:00,1,0.6391799999999999,-0.05247348164836175,22,2.831735915202359,0.007138954631184572
AUDUSD,2023-07-13 00:00:00+00:00,2023-08-02 00:00:00+00:00,1,0.6888199999999999,-0.05046311082721161,17,2.08218251255137,0.007104084431745158
NZDUSD,2023-08-10 00:00:00+00:00,2023-10-09 00:00:00+00:00,-1,0.60104,-0.0034606681751629498,51,2.109009163273132,0.005190212884828735
AUDUSD,2023-08-11 00:00:00+00:00,2023-11-03 00:00:00+00:00,-1,0.64915,-0.0029885234537470086,72,1.9753610345858117,0.006045444932484854
USDCAD,2023-09-07 00:00:00+00:00,2023-11-28 00:00:00+00:00,1,1.3682999999999998,-0.00863845647884213,70,1.6544286615314836,0.002265188304715095
EURUSD,2023-09-14 00:00:00+00:00,2023-11-14 00:00:00+00:00,-1,1.06347,-0.022877937318401195,52,2.0110288889555754,0.004151513963476744
GBPUSD,2023-09-20 00:00:00+00:00,2023-11-14 00:00:00+00:00,-1,1.2326249999999999,-0.013548321671230167,47,2.1393151901727254,0.003448926069391096
USDCHF,2023-09-25 00:00:00+00:00,2023-11-14 00:00:00+00:00,1,0.9121700000000001,-0.025411929793788514,43,2.5808627108276005,0.0020839903999060046
NZDUSD,2023-10-18 00:00:00+00:00,2023-11-21 00:00:00+00:00,-1,0.58524,-0.03444740619233149,29,1.9364101795018456,0.006473408213903492
AUDUSD,2023-11-27 00:00:00+00:00,2024-02-02 00:00:00+00:00,1,0.66136,-0.015740292730131916,57,2.2203745059051108,0.006080413894701535
NZDUSD,2023-11-28 00:00:00+00:00,2024-02-02 00:00:00+00:00,1,0.61455,-0.013343096574729712,55,2.3430297926216794,0.006612804026049374
EURUSD,2023-11-28 00:00:00+00:00,2024-02-05 00:00:00+00:00,1,1.10042,-0.023945402664437093,58,2.0945372009506307,0.004368606142804902
USDCHF,2023-12-01 00:00:00+00:00,2024-02-12 00:00:00+00:00,-1,0.86864,-0.008346380548904029,61,2.476298150622282,0.003876778099087189
USDJPY,2023-12-07 00:00:00+00:00,2024-02-02 00:00:00+00:00,-1,144.2345,-0.02826646884067257,48,3.4312918888064052,0.006955655725745513
